id,parent_id,is_periodic_copy,shift_x_um,shift_y_um,x_um,y_um,r_um,diameter_um,x_mm,y_mm,r_mm,diameter_mm
55,47,False,0.0,0.0,96.52363137815016,74.68216430272419,3.8460828706199837,7.692165741239967,0.09652363137815016,0.07468216430272419,0.0038460828706199835,0.007692165741239967
56,47,True,-100.0,0.0,-3.4763686218498435,74.68216430272419,3.8460828706199837,7.692165741239967,-0.0034763686218498434,0.07468216430272419,0.0038460828706199835,0.007692165741239967
57,48,False,0.0,0.0,37.12019589228813,48.948461855968674,3.3706857226412477,6.741371445282495,0.03712019589228813,0.04894846185596868,0.0033706857226412476,0.006741371445282495
58,49,False,0.0,0.0,93.4339847205681,39.288183214889,3.9056740610473266,7.811348122094653,0.0934339847205681,0.039288183214889,0.0039056740610473265,0.007811348122094653
59,50,False,0.0,0.0,64.97695903537513,77.38806832085804,3.9755000000000003,7.9510000000000005,0.06497695903537513,0.07738806832085804,0.0039755,0.007951
60,51,False,0.0,0.0,47.877797947014315,97.58324770509547,3.756518479561231,7.513036959122462,0.047877797947014314,0.09758324770509548,0.003756518479561231,0.007513036959122462
61,51,True,0.0,-100.0,47.877797947014315,-2.4167522949045264,3.756518479561231,7.513036959122462,0.047877797947014314,-0.0024167522949045265,0.003756518479561231,0.007513036959122462
62,52,False,0.0,0.0,15.732712467079345,82.93853271223861,3.6310963852515066,7.262192770503013,0.015732712467079347,0.08293853271223861,0.0036310963852515064,0.007262192770503013
63,53,False,0.0,0.0,92.12915172042763,96.29955838422505,3.3947842201498837,6.789568440299767,0.09212915172042763,0.09629955838422505,0.0033947842201498836,0.006789568440299767
64,54,False,0.0,0.0,3.6196735028446505,66.20102789191985,3.6576259720095052,7.3152519440190105,0.0036196735028446504,0.06620102789191985,0.0036576259720095053,0.007315251944019011
65,54,True,100.0,0.0,103.61967350284465,66.20102789191985,3.6576259720095052,7.3152519440190105,0.10361967350284465,0.06620102789191985,0.0036576259720095053,0.007315251944019011
66,55,False,0.0,0.0,8.882988227748294,80.1696329591215,3.429833294367094,6.859666588734188,0.008882988227748294,0.0801696329591215,0.0034298332943670943,0.0068596665887341885
67,56,False,0.0,0.0,45.73540577700463,65.09358122209844,3.4965683498183022,6.9931366996366044,0.04573540577700463,0.06509358122209843,0.003496568349818302,0.006993136699636604
